번호,대화A,대화B,,,,,,,,,,,,,,,
7198,가: 오늘은 일몰 전에 퇴근할게요.,나: 매일같이 한밤중에 집에 들어오는 당신이 웬일이에요?,,,,,,,,,,,,,,,
7199,가: 물이 참 맑다.,나: 맞아. 물속에 하얀 자갈이 모두 보이네.,,,,,,,,,,,,,,,
7200,가: 운동장이 잔돌이 많아서 땅이 고르지 않아.,나: 자갈을 치워야 제대로 연습을 할 수 있겠는데.,,,,,,,,,,,,,,,
7201,"가: 엄마, 어부들이 일기 예보에 귀를 기울이는 이유가 뭐예요?",나: 배를 타고 바다에 나가는 일을 하기 때문에 자연재해에 대비하기 위해서란다.,,,,,,,,,,,,,,,
7202,가: 낮에는 너무 눈부셔서 운전을 할 수가 없어.,나: 차 유리에 자외선 차단 필름을 붙여 봐.,,,,,,,,,,,,,,,
7203,가: 어제 저녁에 버스가 절벽으로 추락하는 대형 교통사고가 있었어요.,나: 세상에! 조금만 조심했더라면 그런 재난은 피할 수 있었을 텐데요.,,,,,,,,,,,,,,,
7204,"가: 선생님, 댐은 왜 만드는 거예요?",나: 가뭄이나 홍수로 발생하는 재해에 대비하기 위해 물을 저장해 두는 거란다.,,,,,,,,,,,,,,,
7205,가: 오늘 왜 이렇게 힘도 안 나고 하루 종일 기분이 좋지 않을까?,나: 날씨 때문이 아닐까 싶어. 오늘은 날씨가 저기압이라서 그럴 거야.,,,,,,,,,,,,,,,
7206,"가: 어라, 쟤는 왜 혼자 저렇게 우울하게 있어? 무슨 안 좋은 일 있는 거야?",나: 응. 성적표가 나왔는데 성적이 좋지 않은가 봐. 그래서 저기압이 됐어.,,,,,,,,,,,,,,,
7207,가: 여섯 시도 안 되었는데 벌써 밖이 깜깜하네.,나: 겨울이 가까워지니까 날이 정말 빨리 저무는 것 같아요.,,,,,,,,,,,,,,,
7208,가: 벌써 12월 마지막 주라니 올해도 다 저물었네요.,나: 그러게요. 새해가 시작되었던 것이 엊그제 같은데 시간이 정말 빨라요.,,,,,,,,,,,,,,,
7209,가: 냉장고를 사려고 하는데 이 디자인 어때?,나: 디자인만 보지 말고 소비 전력이 얼마나 되는지를 따져 봐.,,,,,,,,,,,,,,,
7210,"가: 와, 절벽 밑을 보니 아찔하구나.",나: 위험하니까 난간에 너무 가까이 가지 마.,,,,,,,,,,,,,,,
7211,가: 제가 어렸을 때 열병을 앓다가 귀가 절벽이 되었죠.,나: 정말 상심이 크셨겠어요.,,,,,,,,,,,,,,,
7212,가: 네가 아무리 하지 말래도 나는 꼭 할 거야.,나: 너도 참 절벽이구나.,,,,,,,,,,,,,,,
7213,가: 마치 내 앞날이 깜깜한 절벽같이 느껴져.,나: 시험에 한 번 떨어졌다고 그렇게 절망할 필요는 없어.,,,,,,,,,,,,,,,
7214,가: 산 정상까지 얼마나 남았어요?,나: 앞으로 30분 정도만 더 가면 돼.,,,,,,,,,,,,,,,
7215,가: 인기 정상의 가수가 가요계 은퇴를 선언했대.,"나: 한창 잘나가고 있는데, 갑자기 왜 그만두려고 하는 거지?",,,,,,,,,,,,,,,
7216,가: 지금 보시는 이 지대는 앞으로 발전 가능성이 매우 높아요.,나: 그럼 투자할 가치가 있겠군요.,,,,,,,,,,,,,,,
7217,가: 이곳의 지형은 어떻습니까?,나: 보시다시피 대체로 평탄해서 넓은 평야가 많습니다.,,,,,,,,,,,,,,,
7218,가: 어? 오리 고기를 주문했는데 웬 흙덩어리지?,나: 응. 이 가게의 비법인데 오리에 진흙을 발라서 구운 거래.,,,,,,,,,,,,,,,
7219,가: 이 많은 진흙을 어디에 쓰시려고요?,"나: 아, 이것으로 항아리를 만들 겁니다.",,,,,,,,,,,,,,,
7220,가: 안개가 심하네.,"나: 그러게, 천지를 분간하기가 어려워.",,,,,,,,,,,,,,,
7221,가: 우리나라도 십 년 사이에 많이 변했네.,나: 십 년이면 천지가 바뀔 만한 시간이지.,,,,,,,,,,,,,,,
7222,가: 식물원은 어땠어?,나: 꽃들이 예쁘게 자라나서 온통 꽃 천지였어.,,,,,,,,,,,,,,,
7223,가: 철로 만들어진 문이 다 녹슬어서 붉게 변했어요.,나: 오래되어서 비 때문에 철이 부식된 거야.,,,,,,,,,,,,,,,
7224,"가: 와, 이런 초원에서 말을 타면 정말 재밌겠다.",나: 여기 승마장이 있다는데 한번 해 봐.,,,,,,,,,,,,,,,
7225,가: 다른 나라를 가보면 토양 색깔이 우리나라와는 다른 것 같아.,나: 응. 맞아. 구성하고 있는 물질이 서로 다르기 때문에 색깔도 달라.,,,,,,,,,,,,,,,
7226,가: 방금 화분에 넣은 건 뭐야? 흙인 것 같은데.,나: 응. 식물이 자라기에 가장 좋게 만든 특수한 토양이야. 비싸게 주고 사 왔어.,,,,,,,,,,,,,,,
7227,가: 힘들고 가난했던 시절이 지금의 나를 만든 것 같아.,"나: 그래, 그때의 고생이 네 인생의 토양이 된 거야.",,,,,,,,,,,,,,,
7228,가: 이 나라는 어떻게 이렇게 농사가 잘 되는 걸까?,나: 워낙에 비옥한 토지라서 그런 것 같아.,,,,,,,,,,,,,,,
7229,가: 이 지역은 평야가 발달해서 주로 쌀농사를 지어요.,나: 그럼 우리 여기서 쌀 좀 사 가지고 갈까?,,,,,,,,,,,,,,,
7230,가: 경사가 심해서 너무 힘들다. 조금만 쉬었다 가면 안 될까?,나: 조금만 더 가면 평지가 나오니까 조금 더 힘내자.,,,,,,,,,,,,,,,
7231,가: 오늘 최고 기온 삼십오 도 이상으로 폭염 주의보가 내려졌대요.,나: 오늘은 되도록이면 밖에 나가지 말아야겠네요.,,,,,,,,,,,,,,,
7232,가: 폭풍이 치는 바다 속에 들어가는 건 너무 위험해요.,나: 그렇다고 사람이 빠졌는데 그냥 보고 있을 수만은 없잖아요.,,,,,,,,,,,,,,,
7233,"가: 지수야, 엄마가 날씨가 추워서 솜이불을 꺼내 놓았어.",나: 오늘은 푸근한 이불을 덮고 잘 수 있겠네요.,,,,,,,,,,,,,,,
7234,가: 김 씨는 어떤 사람이야?,나: 고민이 있으면 언제든지 털어놓을 수 있는 푸근한 사람이야.,,,,,,,,,,,,,,,
7235,가: 오늘 날씨가 어때?,나: 벌써 봄이 되었는지 어제보다 푸근해.,,,,,,,,,,,,,,,
7236,가: 너희 집이 이 강 근처라고?,"나: 응, 이 강을 따라 하류로 가면 바다와 만나는 곳이 있는데 나는 그 근처 살아.",,,,,,,,,,,,,,,
7237,가: 나도 이 하루 생활을 청산해야 될 텐데.,나: 수험생 생활이 어째서 하류 생활이야.,,,,,,,,,,,,,,,
7238,가: 이 마을은 공기가 좋네요.,"나: 네, 게다가 하천도 흐르고 있어서 경관도 참 좋아요.",,,,,,,,,,,,,,,
7239,가: 수도꼭지는 왜 틀어 놓아요?,나: 겨울철 한파에 대비해서 동파를 방지하려고요.,,,,,,,,,,,,,,,
7240,가: 이번 크리스마스에는 함박눈이 온대.,나: 그래? 크리스마스가 더 기다려진다.,,,,,,,,,,,,,,,
7241,가: 드디어 내일 요트 여행을 떠난다! 정말 재미있을 것 같지?,나: 동해 해상에 파랑 주의보가 내려졌다니까 항해 조심해.,,,,,,,,,,,,,,,
7242,가: 너는 여름휴가 때마다 세부에 가더라. 매번 같은 곳으로 가면 지겹지 않아?,"나: 아니, 세부는 해양 스포츠를 즐기기에 아주 좋은 곳이거든.",,,,,,,,,,,,,,,
7243,가: 민준이는 꿈이 뭐니?,나: 해저에 가라앉아 있는 보물선을 찾아 떠나고 싶어요.,,,,,,,,,,,,,,,
7244,가: 비가 아직도 안 그쳤네?,나: 집중 호우가 내린다더니 계속 오네.,,,,,,,,,,,,,,,
7245,가: 저 산은 현재도 활동 중이에요.,"나: 저런, 그럼 화산이 언제 또 폭발할지 모르겠네요.",,,,,,,,,,,,,,,
7246,가: 날도 저물어 가는데 창밖으로 뭘 그렇게 보고 있어요?,나: 황혼이 너무 아름다워서 눈을 뗄 수가 없구려.,,,,,,,,,,,,,,,
7247,가: 황혼에 다시 새로운 인생을 시작한 기분이 어떠십니까?,나: 육십이 넘은 나이에 이런 열정이 생길 줄은 나도 몰랐소.,,,,,,,,,,,,,,,
7248,가: 차의 기름이 다 떨어진 것 같아.,나: 그럼 중간에 주유소에 들러서 휘발유를 넣자.,,,,,,,,,,,,,,,
7249,가: 저 그림자가 누구지?,나: 흐릿한 윤곽만 보이니 잘 모르겠네.,,,,,,,,,,,,,,,
7250,가: 저한테 일을 같이 하자고 하셨는데 생각 안 나세요?,나: 오래전 일이라 기억이 흐릿하네요.,,,,,,,,,,,,,,,
7251,가: 내가 눈이 흐릿한지 글씨가 잘 안 보이는구나.,"나: 할머니, 돋보기 여기 있어요.",,,,,,,,,,,,,,,
7252,가: 흐릿했던 강이 많이 깨끗해졌어요.,나: 그러게요. 물고기들도 제법 보이네요.,,,,,,,,,,,,,,,
7253,가: 하늘이 흐릿한데 우산 가져갈까?,"나: 응, 이따 비 온다고 하니 가져가.",,,,,,,,,,,,,,,
7254,가: 너희 집 개가 강아지를 다섯 마리나 낳았다며?,나: 응. 한 마리 줄 테니까 데려가서 키울래?,,,,,,,,,,,,,,,
7255,"가: 할머니, 저 왔어요.",나: 우리 강아지 왔구나!,,,,,,,,,,,,,,,
7256,"가: 엄마, 우리 강아지 한 마리만 길러요.","나: 얘, 집에서 개 기르는 게 쉬운 줄 아니?",,,,,,,,,,,,,,,
7257,가: 그 놈 아주 못쓰겠어. 술 중독에 도박에 싸움질까지 하고 다녀.,나: 완전히 개네.,,,,,,,,,,,,,,,
7258,"가: 승규야, 넌 무슨 동물을 좋아하니?",나: 난 귀엽고 재롱이 많은 고양이가 좋아.,,,,,,,,,,,,,,,
7259,가: 무슨 꽃을 좋아해요?,나: 노란색 튤립을 좋아해요.,,,,,,,,,,,,,,,
7260,가: 자네 부인이 그렇게 아름답다면서?,"나: 대학교 때 아내를 만났는데, 저희 과의 꽃이었죠.",,,,,,,,,,,,,,,
7261,가: 우리도 저렇게 꽃 같은 때가 있었는지 모르겠네요.,나: 그러게요. 애들이 참 예쁘고 생기 있네요.,,,,,,,,,,,,,,,
7262,"가: 엄마, 온몸에 두드러기가 빨갛게 났어요.",나: 두드러기가 아니라 몸에 열이 있어서 생긴 꽃이니까 긁지 마.,,,,,,,,,,,,,,,
7263,가: 뒷산에 나무가 너무 없어서 걱정이에요.,나: 맞아요. 장마철에 산사태가 나지는 않을까 불안해요.,,,,,,,,,,,,,,,
7264,가: 이 식탁은 나무로 만들어졌나 봐요.,나: 아니. 플라스틱으로 만들어졌어. 색이 갈색이어서 나무처럼 보이는 거야.,,,,,,,,,,,,,,,
7265,가: 집에 땔감이 다 떨어졌네.,나: 지금 산에 가서 나무를 한 짐 해서 가져올게요.,,,,,,,,,,,,,,,
7266,가: 꽃잎이 바람에 날며 떨어지고 있어.,나: 그러게. 이제 꽃들도 다 시들어 떨어지나 보다.,,,,,,,,,,,,,,,
7267,가: 아직도 옆집 부부가 물건을 던지며 싸우고 있니?,나: 말도 마. 방금 전에도 식기와 국자가 날고 큰소리가 나던데.,,,,,,,,,,,,,,,
7268,가: 어떻게 그 삼엄한 경계를 뚫고 여기까지 오셨어요?,나: 감시망을 피해 이곳으로 날았지. 이제 숨 좀 돌릴 수 있겠군.,,,,,,,,,,,,,,,
7269,가: 왜 이렇게 일찍 일어났어?,나: 새벽에 닭이 우는 소리에 깼어요.,,,,,,,,,,,,,,,
7270,가: 너 혹시 집에서 동물 키우니?,"나: 응, 강아지랑 고양이 키워.",,,,,,,,,,,,,,,
7271,가: 돼지는 더럽고 미련해서 싫어요.,나: 아니란다. 돼지는 사실 아주 깨끗하고 영리한 동물이야.,,,,,,,,,,,,,,,
7272,가: 아! 배부르다.,"나: 돼지, 누가 뺏어 먹는다고 그걸 한꺼번에 다 먹었냐?",,,,,,,,,,,,,,,
7273,가: 왜 학교에 안 가려고 해?,나: 애들이 뚱뚱보 돼지라고 놀려요.,,,,,,,,,,,,,,,
7274,가: 어떻게 처음 승마를 시작하게 되셨나요?,"나: 어려서부터 말을 친구보다도 좋아했고, 말 타는 것도 재미가 있었거든요.",,,,,,,,,,,,,,,
7275,가: 등에 모기 물린 데가 가려워 미치겠어.,나: 가려워도 긁지 말고 이 약을 바르도록 해.,,,,,,,,,,,,,,,
7276,"가: 할머니, 이 손수건에 수놓인 꽃이 뭐예요?",나: 이건 할머니가 제일 좋아하는 무궁화라는 꽃이란다.,,,,,,,,,,,,,,,
7277,"가: 아빠, 저 물고기 키우고 싶어요.","나: 그래, 금붕어랑 어항이랑 같이 사러 가자꾸나.",,,,,,,,,,,,,,,
7278,가: 저기 까치 둥지 근처에 뱀 한 마리가 스멀스멀 기어 올라가고 있어!,나: 뱀이 까치 새끼를 노리나 봐!,,,,,,,,,,,,,,,
7279,가: 오랜만에 숲에 오니까 상쾌한걸?,나: 응. 특히 새가 지저귀는 소리가 참 듣기 좋다.,,,,,,,,,,,,,,,
7280,가: 소가 자꾸 울어요.,나: 여물을 달라나 보구나. 소에게 꼴을 먹이도록 하자.,,,,,,,,,,,,,,,
7281,"가: 민준아, 너 갑자기 왜 울어?",나: 처음으로 대회에서 상을 받은 게 기뻐서 우는 거야.,,,,,,,,,,,,,,,
7282,가: 밖에서 바람이 무섭게 운다.,"나: 태풍이 올 거라고 하더니, 이제 시작인가 보네.",,,,,,,,,,,,,,,
7283,가: 밖에서 이상한 소리가 나는 것 같아.,나: 문풍지가 바람에 우는 소리야.,,,,,,,,,,,,,,,
7284,"가: 아, 깜짝이야. 조금 전까지 하늘이 맑았는데 갑자기 천둥이 우네.",나: 일기 예보에서 오늘 비가 올 거라고 했어.,,,,,,,,,,,,,,,
7285,"가: 환자분, 어디가 안 좋으세요?",나: 귀에서 자꾸 우는 소리가 들려서 잠을 못 자요.,,,,,,,,,,,,,,,
7286,가: 어린아이를 성추행한 사람이 증거 불충분으로 풀려났대.,"나: 아, 정말 주먹이 운다.",,,,,,,,,,,,,,,
7287,가: 내가 선물해 준 화분은 잘 키우고 있어?,"나: 응, 지난주에 잎이 나기 시작했어.",,,,,,,,,,,,,,,
7288,가: 벌써 가을이 온 거 같아.,"나: 그러게, 나뭇잎이 한 잎 두 잎 빨갛게 물들기 시작했어.",,,,,,,,,,,,,,,
7289,가: 이 밥을 싸고 있는 잎은 뭐예요?,"나: 아, 연잎이에요. 연잎에 쌀을 넣고 찌면 향기가 아주 좋아요.",,,,,,,,,,,,,,,
7290,가: 너는 이다음에 자라서 뭐가 되고 싶니?,나: 대통령이 되고 싶어요.,,,,,,,,,,,,,,,
7291,가: 옆집 아이는 어려운 환경 속에서도 밝게 잘 자란 것 같아.,나: 맞아. 한 번도 부모님 속을 썩인 적이 없대.,,,,,,,,,,,,,,,
7292,가: 사람들이 질서를 잘 안 지키는 것 같아.,나: 나라는 점점 발전했지만 시민 의식은 잘 자라지 않네.,,,,,,,,,,,,,,,
7293,가: 우리 회사는 적은 자본으로 어렵게 시작했지.,"나: 응, 하지만 이제는 큰 기업으로 자랐지.",,,,,,,,,,,,,,,
7294,가: 여자 친구 생일에 뭐 선물해 줬어?,나: 스무 번째 생일이라서 장미 스무 송이를 사 줬어.,,,,,,,,,,,,,,,
7295,가: 저기 코가 긴 동물이 바로 코끼리야.,나: 와! 코로 음식을 집어 먹네요.,,,,,,,,,,,,,,,
7296,가: 이번 시합은 마치 토끼와 거북이의 경주처럼 보이네요.,"나: 네, 현실에서도 거북이가 빠른 토끼를 이길 수 있을지 궁금하군요.",,,,,,,,,,,,,,,
7297,가: 국화는 언제쯤 필까?,나: 가을이 되어야 피지. 이제 여름인데 피려면 아직 멀었어.,,,,,,,,,,,,,,,
7298,가: 며칠 전까지만 해도 피곤해 보이더니 오늘은 얼굴이 폈네.,"나: 응, 며칠 동안 푹 쉬었거든.",,,,,,,,,,,,,,,
7299,가: 저기 좀 보세요. 연기가 나고 있어요.,나: 산에서 연기가 피는 걸 보니 산에 불이라도 난 모양이야.,,,,,,,,,,,,,,,
7300,"가: 엄마, 저도 학원에 다니면 안 될까요?","나: 지금 우리 집 형편에는 힘들고, 형편이 피면 그때 보내주마.",,,,,,,,,,,,,,,
7301,가: 몇 번 입지도 않았는데 벌써 보풀이 폈지 뭐야.,나: 원래 스웨터는 보풀이 잘 일어나서 관리를 잘 해줘야 해.,,,,,,,,,,,,,,,
7302,"가: 야, 이 빵 버려야겠다.","나: 어머, 그러게. 곰팡이가 펴서 못 먹겠네.",,,,,,,,,,,,,,,
7303,가: 이 한지는 왜 이렇게 먹이 잘 피는 거야.,나: 네가 먹에 물을 너무 많이 섞은 거 아냐?,,,,,,,,,,,,,,,
7304,"가: 할머니, 옛날 이야기 해 주세요.",나: 옛날에 호랑이 한 마리가 살고 있었단다.,,,,,,,,,,,,,,,
7305,가: 너는 그 호랑이 선생님이 좋다고? 난 무서워서 그 앞에도 못 가겠는데.,나: 선생님이 엄하시긴 해도 자상하실 땐 얼마나 자상하시다고.,,,,,,,,,,,,,,,
7306,가: 비싸게 주고 사기에는 이 소가 너무 늙어 보이는데.,나: 그러네. 바짝 말라 가죽도 늘어졌고 털에는 윤기가 하나도 없어.,,,,,,,,,,,,,,,
7307,가: 민준이는 적지 않은 나이에도 아주 멋쟁이야!,나: 그래도 난 딱 달라붙는 가죽 바지는 보기에 부담스럽더라.,,,,,,,,,,,,,,,
7308,가: 아버지는 정원에서 하루 종일 뭐하셔?,나: 나무에 물을 주기도 하고 죽은 가지는 쳐내기도 하고 그러지.,,,,,,,,,,,,,,,
7309,가: 이 책만 읽으면 그의 이론을 이해할 수 있을까요?,나: 그럼요. 그의 모든 이론들은 그의 첫 책에서 갈라져 나온 가지들이거든요.,,,,,,,,,,,,,,,
7310,"가: 유민아, 이게 올챙이라는 거야. 크면서 꼬리는 없어지고 다리가 생겨서 개구리가 된단다.","나: 와, 엄마. 너무 신기해요.",,,,,,,,,,,,,,,
7311,가: 이제 겨울도 가고 봄이 오나 봐.,나: 그래. 저기 담벼락에 있는 개나리도 꽃을 피웠네.,,,,,,,,,,,,,,,
7312,"가: 어머나, 방 안에 개미가 왜 이렇게 많아?",나: 단 음식을 그냥 두니까 당연히 개미가 꼬이지.,,,,,,,,,,,,,,,
7313,가: 너는 왜 그렇게 거미를 무서워하니?,나: 다리가 여덟 개나 있어서 징그럽잖아.,,,,,,,,,,,,,,,
7314,가: 집에서 어떤 동물을 키우니?,나: 나는 거북이를 좋아해서 여러 마리의 거북이를 키우고 있어.,,,,,,,,,,,,,,,
7315,가: 고래는 바다에 사는 다른 생물들과 다르게 알을 낳지 않고 새끼를 낳는단다.,나: 그래서 포유류에 속하는군요.,,,,,,,,,,,,,,,
7316,"가: 지수야, 유치원에서 배운 노래 불러 봐.","나: 곰 세 마리가 한 집에 있어. 아빠 곰, 엄마 곰, 아기 곰.",,,,,,,,,,,,,,,
7317,가: 나 저번에 배가 아픈데 꾹 참고 수업을 끝까지 듣다가 결국 응급실에 실려 갔어.,나: 그러니까 네가 곰처럼 미련하다는 소리를 듣지.,,,,,,,,,,,,,,,
7318,가: 이렇게 날씨가 쌀쌀한데도 화단에 꽃이 피었어요.,나: 그건 국화라고 가을에 꽃을 피우는 식물이란다.,,,,,,,,,,,,,,,
7319,가: 아침 일찍 어디를 갔다가 오니?,나: 우리 강아지가 꼬리를 다쳐서 동물 병원에 다녀왔어.,,,,,,,,,,,,,,,
7320,"가: 엄마, 제가 도와 드릴까요?",나: 그래. 콩나물무침을 할 콩나물 꼬리 좀 따거라.,,,,,,,,,,,,,,,
7321,가: 벚꽃 구경 갔다 왔어?,나: 응. 하얀 꽃잎이 바람에 흩날리는 게 정말 예쁘더라.,,,,,,,,,,,,,,,
7322,가: 아침에 일어났더니 집 앞에 나뭇잎이 수북이 쌓여 있더라고요.,나: 어제 아이들이 나무를 발로 차면서 장난을 치더니 그렇게 되었나 봐요.,,,,,,,,,,,,,,,
7323,"가: 엄마, 우리 집 마당에도 나비가 많이 날아들었으면 좋겠어요.",나: 그럼 꽃을 많이 심자.,,,,,,,,,,,,,,,
7324,가: 우리 단풍놀이 가지 않을래?,나: 그래. 다음 주부터는 낙엽이 진다고 하니까 이번 주말에 가자.,,,,,,,,,,,,,,,
7325,가: 하룻밤 사이에 집 마당에 낙엽이 수북이 쌓였어.,나: 어제 비바람이 심하게 몰아쳐서 그래.,,,,,,,,,,,,,,,
7326,가: 무거운 비행기가 어떻게 공중에 뜰 수가 있나요?,나: 항공기 날개 위쪽과 아래쪽의 압력 차에 의해 뜨는 힘이 생기는 거란다.,,,,,,,,,,,,,,,
7327,가: 선풍기는 왜 새로 사?,"나: 응, 선풍기가 넘어지면서 날개에 금이 갔어.",,,,,,,,,,,,,,,
7328,가: 네 꿈이 비행기 조종사라며?,나: 응. 어렸을 때부터 하늘을 날아가는 비행기를 보는 걸 좋아했어.,,,,,,,,,,,,,,,
7329,가: 어떡해. 중요한 약속을 깜빡했네.,나: 지금이라도 날아가면 괜찮을 거야.,,,,,,,,,,,,,,,
7330,가: 네가 고민을 들어 줘서 걱정이 다 날아간 것 같아. 고마워.,"나: 고맙긴, 뭘. 친구 사이에 당연한 거지.",,,,,,,,,,,,,,,
7331,가: 지금 여기로 나비 한 마리가 날아오지 않았어?,"나: 아, 방금 저리로 날아갔어.",,,,,,,,,,,,,,,
7332,가: 너 얼굴에 왜 멍이 들었어?,"나: 아, 어제 민준이한테 화를 좀 냈더니 바로 주먹이 날아오더라고.",,,,,,,,,,,,,,,
7333,가: 외국에서 나한테 편지 한 통이 날아왔는데 도대체 누구한테 왔는지 모르겠어.,나: 너 외국에 아는 사람 없지 않아?,,,,,,,,,,,,,,,
7334,가: 강아지가 사람을 참 잘 따르네.,"나: 네, 낯선 사람을 봐도 멍멍 소리 한 번 안 내요.",,,,,,,,,,,,,,,
7335,가: 담배 물고 무슨 생각을 해?,"나: 아니, 좀 걱정되는 게 있어서.",,,,,,,,,,,,,,,
7336,가: 치료가 좀 아팠지?,"나: 네, 그래도 이를 꽉 물고 참았어요.",,,,,,,,,,,,,,,
7337,가: 다리에 웬 상처야?,나: 옆집 개가 갑자기 무는 바람에 다쳤어.,,,,,,,,,,,,,,,
7338,가: 왜 이렇게 온몸이 가렵지.,나: 아마도 아까 풀밭에서 벌레가 물어서 그럴 거야.,,,,,,,,,,,,,,,
7339,가: 지난번에 만난 사람은 마음에 들어?,나: 괜찮았으면 내가 벌써 물었지.,,,,,,,,,,,,,,,
7340,가: 음식 입에 문 채로 이야기하지 말아라.,나: 그럼 아무 말도 안 하고 밥만 먹어요?,,,,,,,,,,,,,,,
7341,"가: 아, 가려워. 벌레에 물린 거 같아.",나: 그러네. 벌레에 물린 자리가 발갛게 부어올랐다.,,,,,,,,,,,,,,,
7342,가: 잎에 윤기가 하나도 없네.,나: 뿌리가 건강하지 않아서 그래.,,,,,,,,,,,,,,,
7343,가: 화분의 꽃이 많이 자라서 다른 곳에 옮겨 심을까 해.,나: 그럼 뿌리까지 잘 캐서 옮겨야 돼.,,,,,,,,,,,,,,,
7344,가: 이가 흔들려서 병원에 왔어요.,나: 치아의 뿌리가 많이 약해졌군요.,,,,,,,,,,,,,,,
7345,가: 나는 동물 중에서 사자가 제일 좋아.,나: 나도. 특히 얼굴이랑 목에 난 갈기가 제일 멋있어.,,,,,,,,,,,,,,,
7346,가: 주말에 소나무 농장에 가서 깨끗한 공기도 쐬고 구경도 하자.,"나: 좋아, 좋은 소나무가 있으면 분양도 받자.",,,,,,,,,,,,,,,
7347,가: 이제 송아지가 태어나는 거예요?,나: 네. 소가 곧 새끼를 낳을 것 같으니까 어서 수의사를 부르는 게 좋겠어요.,,,,,,,,,,,,,,,
7348,가: 참외에 있는 씨는 왜 다 발라내는 거야?,"나: 응, 난 씨가 잘 소화가 안 되는 것 같아서.",,,,,,,,,,,,,,,
7349,가: 개가 아주 잘생겼네요.,나: 좋은 씨를 받아서 낳은 놈이거든요.,,,,,,,,,,,,,,,
7350,가: 이렇게 놀기만 하다가 재수하는 거 아니야?,"나: 야, 말이 씨가 돼.",,,,,,,,,,,,,,,
7351,가: 김 씨 아들이 도박하다가 경찰에 잡혀갔대요.,나: 씨는 못 속인다더니 아들도 그 모양이네.,,,,,,,,,,,,,,,
7352,가: 이것은 무슨 씨앗이에요?,나: 무궁화 꽃 씨앗이야. 마당에 심으려고.,,,,,,,,,,,,,,,
7353,가: 어려운 형편 속에서도 따님을 정말 잘 키우셨어요.,"나: 네, 저희 부부는 딸아이가 저희 가족의 희망의 씨앗이 될 거라고 믿었거든요.",,,,,,,,,,,,,,,
7354,가: 이 개집 정말 예쁘네. 어디에서 산 거야?,나: 애완동물 용품을 전문으로 파는 가게에서 샀어.,,,,,,,,,,,,,,,
7355,가: 이 고양이 인형 발바닥을 누르면 야옹 소리가 난다.,나: 나도 한 번 눌러 볼래.,,,,,,,,,,,,,,,
7356,가: 이번 여행 어땠어?,나: 내가 간 데가 시골이어서 그런지 풀하고 하얀 양밖에 없더라.,,,,,,,,,,,,,,,
7357,가: 지수는 얼마나 성질이 사나운지 걔네 엄마도 꼼짝을 못 해.,나: 엄마는 순한 양이던데 걔는 왜 그러나 몰라.,,,,,,,,,,,,,,,
7358,"가: 김 집사님, 말씀해 주세요.",나: 저는 예수님을 믿기 전까지는 길 잃은 양이었습니다.,,,,,,,,,,,,,,,
7359,"가: 와, 벌써 감나무가 열매를 맺었어!",나: 정말이네. 아주 탐스럽다.,,,,,,,,,,,,,,,
7360,가: 열심히 공부하면 언젠가 알찬 열매를 보게 되겠지?,"나: 그럼, 물론이지.",,,,,,,,,,,,,,,
7361,가: 너는 왜 오리마냥 뒤뚱뒤뚱 걷니?,나: 책가방이 너무 무거워서요.,,,,,,,,,,,,,,,
7362,가: 내일 아들 내외가 내려온다네?,나: 그래요? 그럼 오리를 잡아다 맛있는 요리를 해 줘야지.,,,,,,,,,,,,,,,
7363,가: 서양 문학에서도 용이 등장하나요?,나: 네. 하지만 동양과 달리 악을 상징한답니다.,,,,,,,,,,,,,,,
7364,"가: 아빠, 정원에서 뭐하고 계세요?",나: 썩은 나무 줄기를 잘라 내고 있단다.,,,,,,,,,,,,,,,
7365,가: 저기요. 대청봉에 가려면 이 길 따라 오르면 되나요?,"나: 네, 저 산 줄기를 따라 올라가면 대청봉이 나오게 됩니다.",,,,,,,,,,,,,,,
7366,가: 어제 민준이가 너한테 혼나서 많이 울었다며?,나: 응. 민준이 얼굴에 한 줄기 눈물이 흐르는데 내 가슴이 미어졌어.,,,,,,,,,,,,,,,
7367,가: 저 문에서 불빛 줄기가 나오는데 한번 가 보자.,나: 싫어. 무섭단 말야.,,,,,,,,,,,,,,,
7368,가: 빛 한 줄기도 들어오지 못하게 창문을 다 막아요.,"나: 네, 알겠습니다.",,,,,,,,,,,,,,,
7369,가: 이 사상의 줄기는 조선 시대까지 거슬러 올라갑니다.,나: 그렇게나 오래됐어요?,,,,,,,,,,,,,,,
7370,가: 그렇게 교과서 한 쪽만 외우려고 들지 말고 전체적인 줄기를 파악해야지.,나: 그건 내가 할 수 있는 능력이 안 돼.,,,,,,,,,,,,,,,
7371,가: 집에 쥐가 있는 거 같아.,나: 고양이라도 키워 볼까?,,,,,,,,,,,,,,,
7372,가: 돈 때문에 자기 자식을 버린 사람이 뉴스에 나왔어요.,"나: 쯧쯧, 짐승도 제 새끼는 끔찍히 생각한다는데.",,,,,,,,,,,,,,,
7373,가: 사람을 저렇게 잔인하게 때리다니 정말 끔찍해요.,"나: 맞아요, 그야말로 짐승이 따로 없네요.",,,,,,,,,,,,,,,
7374,가: 저도 강아지 키우고 싶어요. 엄마.,나: 강아지가 짖으면 시끄러워서 안 된단다.,,,,,,,,,,,,,,,
